customer_id,First_Name,Last_Name,gender,DOB,AGE,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,tenure,Owns_Car,Address,Postcode,State,Country,property_valuation
27,Garvin,Klees,Male,9/25/1978,44,37,Health,Mass Customer,N,12,Yes,96 Texas Plaza,3218,Victoria,Australia,7
28,Fee,Zellmer,Male,9/30/1973,49,5,Health,Affluent Customer,N,21,Yes,48 Eagan Avenue,4868,Queensland,Australia,4
29,Mona,Sancraft,Female,6/22/1968,54,62,Manufacturing,Mass Customer,N,19,No,9 Buell Park,4116,Queensland,Australia,7
30,Darrick,Helleckas,Male,10/18/1961,61,18,IT,Affluent Customer,N,6,Yes,02663 Buell Parkway,2519,New South Wales,Australia,11
31,Star,Praton,Female,11/24/1962,60,3,Telecommunications,High Net Worth,N,14,Yes,2294 Pleasure Place,2135,New South Wales,Australia,12
32,Marion,Vanichkin,Female,4/20/1995,27,17,Manufacturing,Affluent Customer,N,4,No,2951 Petterle Place,2756,New South Wales,Australia,9
33,Ernst,Hacon,Male,6/25/1957,65,44,n/a,Affluent Customer,N,11,Yes,63 Lukken Drive,2170,New South Wales,Australia,9
35,Margaretha,Strettle,Female,9/28/1963,59,40,Health,High Net Worth,N,16,Yes,34 Russell Plaza,4127,Queensland,Australia,6
36,Lurette,Stonnell,Female,11/9/1977,45,33,n/a,Affluent Customer,N,22,No,78 Del Sol Hill,2535,New South Wales,Australia,8
37,Laurie,Dwerryhouse,Female,12/22/1985,37,46,Health,High Net Worth,N,16,No,54 Sage Plaza,4726,Queensland,Australia,1
38,Cordi,Merman,Female,10/29/1955,67,37,Financial Services,Affluent Customer,N,20,No,90 Lawn Parkway,4805,Queensland,Australia,4
39,Hunfredo,Smalley,Male,4/16/1979,43,5,Entertainment,Mass Customer,N,22,No,38726 Ilene Crossing,2212,New South Wales,Australia,10
40,Tomasine,Jerche,Female,10/27/1981,41,91,Manufacturing,Affluent Customer,N,14,No,3496 Brown Drive,2207,New South Wales,Australia,8
41,Basilius,Coupe,Male,4/14/1976,46,64,Health,Mass Customer,N,16,No,7188 Cody Way,3350,Victoria,Australia,9
42,Chiquita,Durnall,Female,3/28/1977,45,24,Manufacturing,Mass Customer,N,18,No,1 Claremont Park,3931,Victoria,Australia,10
43,Indira,Belt,Female,3/1/1983,39,38,Retail,Mass Customer,N,5,No,60 Eagan Circle,4018,Queensland,Australia,8
44,Neron,Verick,Male,10/18/1981,41,63,Entertainment,Affluent Customer,N,17,Yes,89314 Eagle Crest Center,4670,Queensland,Australia,2
45,Trace,Woodhead,Male,9/23/1975,47,64,Financial Services,Mass Customer,N,8,No,2028 Lakewood Place,2480,New South Wales,Australia,3
46,Kaila,Allin,Female,2/26/1972,50,98,n/a,Affluent Customer,N,15,Yes,70875 Hudson Point,3212,Victoria,Australia,6
47,Matthew,Jeaycock,Male,10/22/1992,30,51,Health,Affluent Customer,N,2,No,543 Killdeer Park,2322,New South Wales,Australia,4
48,Rebbecca,Casone,Female,8/15/1975,47,46,n/a,Mass Customer,N,8,Yes,22125 Ramsey Drive,3198,Victoria,Australia,9
49,Nolly,Ownsworth,Male,1/26/1994,28,63,n/a,Affluent Customer,N,1,No,3107 Calypso Terrace,2210,New South Wales,Australia,9
50,Whitby,Schapero,Male,10/1/1980,42,38,Manufacturing,Mass Customer,N,16,Yes,957 Veith Junction,2047,New South Wales,Australia,10
51,Fidelio,Dilke,Male,12/5/1959,63,68,Retail,Mass Customer,N,18,No,4853 Gulseth Avenue,4503,Queensland,Australia,5
52,Curran,Bentson,Male,6/22/1988,34,57,Financial Services,Mass Customer,N,13,Yes,9 Michigan Terrace,2145,New South Wales,Australia,8
53,Agnella,Gocke,Female,4/18/1954,68,22,Financial Services,Mass Customer,N,16,No,62 Steensland Road,4350,Queensland,Australia,3
54,Loralyn,Wonfor,Female,7/24/1966,56,2,Property,Mass Customer,N,18,Yes,6 Homewood Avenue,2142,New South Wales,Australia,8
55,Linc,Jillions,Male,9/24/1956,66,48,Financial Services,Affluent Customer,N,7,Yes,15 Almo Lane,2029,New South Wales,Australia,10
56,Reese,Ensor,Male,7/4/1996,26,44,Property,Mass Customer,N,4,Yes,690 Glacier Hill Circle,2127,New South Wales,Australia,10
57,Abba,Masedon,Male,6/13/1988,34,87,n/a,Mass Customer,N,13,Yes,89787 Village Green Terrace,4280,Queensland,Australia,6
58,Dalenna,Pinnock,Female,7/4/1967,55,26,Financial Services,Affluent Customer,N,17,Yes,18 Elgar Park,2166,New South Wales,Australia,9
59,Niki,Heathcote,Male,2/8/2000,22,60,n/a,High Net Worth,N,3,No,413 Mayer Street,2046,New South Wales,Australia,9
60,Nadiya,Champerlen,Female,2/4/1970,52,18,Manufacturing,Mass Customer,N,10,No,39 3rd Drive,2026,New South Wales,Australia,10
61,Kacey,Rowbottom,Female,11/29/1959,63,47,Property,High Net Worth,N,13,No,44516 Katie Parkway,2765,New South Wales,Australia,7
62,Sorcha,Roggers,Female,7/6/1979,43,38,IT,Mass Customer,N,22,Yes,41 Schurz Center,2749,New South Wales,Australia,8
63,Ebony,Zini,Female,7/3/1965,57,58,Retail,Mass Customer,N,16,Yes,68150 Boyd Road,2745,New South Wales,Australia,9
64,Gerek,Yve,Male,3/25/1978,44,73,IT,High Net Worth,N,4,No,11474 Westend Hill,3752,Victoria,Australia,8
65,Yale,Tanser,Male,4/1/1976,46,21,Financial Services,Affluent Customer,N,15,Yes,308 Jana Crossing,2153,New South Wales,Australia,10
66,Anselm,Gawne,Male,3/11/2002,20,46,Argiculture,High Net Worth,N,1,No,163 Straubel Trail,2217,New South Wales,Australia,10
67,Vernon,,Male,6/14/1960,62,67,Retail,Mass Customer,N,18,No,68294 Clarendon Crossing,2230,New South Wales,Australia,10
68,Dahlia,Eddoes,Female,4/21/1974,48,37,n/a,Affluent Customer,N,9,No,486 Mariners Cove Plaza,3046,Victoria,Australia,7
69,Heidi,Milner,Female,6/22/1969,53,16,n/a,Mass Customer,N,6,No,0322 Dryden Court,3183,Victoria,Australia,7
70,Foster,Vannoort,Male,2/27/1993,29,78,Financial Services,Affluent Customer,N,8,No,9 Bonner Road,2070,New South Wales,Australia,12
71,Hoyt,Glavias,Male,1/27/1985,37,30,Argiculture,Affluent Customer,N,12,Yes,07041 Briar Crest Lane,2213,New South Wales,Australia,10
72,Sammy,Cheese,Male,2/13/1972,50,93,Manufacturing,Affluent Customer,N,16,Yes,29466 Hanson Pass,4208,Queensland,Australia,6
73,Minette,Worters,Female,5/27/1960,62,16,n/a,Affluent Customer,N,5,Yes,0212 Forest Run Trail,2774,New South Wales,Australia,8
74,Pansy,Kiddie,Female,6/19/1969,53,94,n/a,Mass Customer,N,6,Yes,33055 Menomonie Parkway,4133,Queensland,Australia,8
75,Dollie,Sealy,Female,7/15/1978,44,28,Property,Mass Customer,N,19,No,4763 Merchant Avenue,2756,New South Wales,Australia,8
76,Rea,Hasser,Female,1/23/1978,44,20,Retail,High Net Worth,N,18,Yes,439 Ridgeway Court,4213,Queensland,Australia,9
77,Shermie,Andrin,Male,9/12/1989,33,79,Financial Services,Mass Customer,N,7,No,2 Clyde Gallagher Lane,4170,Queensland,Australia,5
78,Arch,Van der Kruis,Male,3/12/1985,37,37,Argiculture,Affluent Customer,N,8,No,97455 Loeprich Lane,2153,New South Wales,Australia,9
79,Tybi,Silliman,Female,10/2/1968,54,76,Manufacturing,Mass Customer,N,18,No,9527 Ridgeway Street,2073,New South Wales,Australia,10
80,Pablo,Small,Male,4/24/1978,44,11,Entertainment,Mass Customer,N,13,No,7 Jackson Point,3561,Victoria,Australia,1
81,Bee,Blazewicz,Female,9/4/1986,36,58,Health,High Net Worth,N,13,No,74 Anniversary Junction,2330,New South Wales,Australia,6
82,Gleda,Cokely,Female,6/28/1965,57,93,Property,High Net Worth,N,19,No,2083 Spaight Court,3977,Victoria,Australia,8
83,Kerr,Simmell,Male,2/26/1967,55,97,IT,Mass Customer,N,18,Yes,2796 Caliangt Circle,2204,New South Wales,Australia,12
84,Rich,Mathiasen,Male,2/7/1958,64,78,n/a,Mass Customer,N,14,Yes,96061 Ludington Place,2086,New South Wales,Australia,11
85,Kane,Tixall,Male,5/21/1958,64,1,n/a,Mass Customer,N,8,No,5037 Merchant Crossing,2226,New South Wales,Australia,11
86,Job,Sleney,Male,3/4/1989,33,75,Health,High Net Worth,N,7,Yes,289 Haas Street,2075,New South Wales,Australia,11
87,Fields,Langdon,Male,4/23/1974,48,78,Financial Services,Mass Customer,N,8,No,4423 Bartelt Parkway,2038,New South Wales,Australia,12
88,Malynda,Tumber,Female,2/3/1966,56,41,Property,High Net Worth,N,7,Yes,5 Grim Center,2069,New South Wales,Australia,12
89,Benedicto,Hoxey,Male,1/22/1967,55,74,Health,Mass Customer,N,14,Yes,73042 Roth Crossing,2100,New South Wales,Australia,11
90,Cary,Garron,Male,11/12/1984,38,76,Manufacturing,Mass Customer,N,11,No,171 Fordem Junction,2233,New South Wales,Australia,10
91,Dylan,Meaker,Male,2/24/1955,67,69,Financial Services,Affluent Customer,N,17,Yes,2640 Manley Point,2166,New South Wales,Australia,9
92,Jodee,Judkins,Female,9/11/1980,42,98,Health,Mass Customer,N,12,No,3 Hintze Pass,3133,Victoria,Australia,10
93,Gordon,Gowar,Male,7/16/1976,46,63,Retail,Mass Customer,N,10,Yes,2 Mcbride Road,3070,Victoria,Australia,10
94,Wallache,Simchenko,Male,8/7/1974,48,33,Manufacturing,Mass Customer,N,21,No,67234 Transport Hill,2777,New South Wales,Australia,7
95,Nomi,Mallinder,Female,12/25/1960,62,67,Manufacturing,Affluent Customer,N,8,Yes,72 Dorton Crossing,3133,Victoria,Australia,10
96,Heath,Olford,Male,8/31/1968,54,33,Manufacturing,Mass Customer,N,15,No,6 Heffernan Center,2125,New South Wales,Australia,11
97,Arne,Corain,Male,7/27/1979,43,16,Financial Services,Mass Customer,N,10,Yes,6088 Roxbury Hill,2766,New South Wales,Australia,8
98,Allianora,Babalola,Female,3/17/1956,66,19,Health,Mass Customer,N,7,No,105 Shelley Alley,2209,New South Wales,Australia,10
99,Reggie,Mulliner,Male,6/13/1998,24,97,Financial Services,Mass Customer,N,3,No,079 Merry Park,2160,New South Wales,Australia,9
100,Tripp,Steed,Male,5/11/1968,54,80,Financial Services,Mass Customer,N,4,Yes,8722 Summit Alley,2065,New South Wales,Australia,12
101,Goran,Kwietek,Male,12/29/1975,47,83,Manufacturing,High Net Worth,N,11,No,9554 Artisan Pass,2150,New South Wales,Australia,10
102,Langsdon,Tranfield,Male,11/27/1956,66,51,Manufacturing,Affluent Customer,N,16,No,55850 Butterfield Road,2168,New South Wales,Australia,9
103,Ethyl,Runham,Female,4/21/1997,25,49,Financial Services,Affluent Customer,N,4,Yes,68 Little Fleur Crossing,2046,New South Wales,Australia,12
104,Odille,Panketh,Female,6/6/1978,44,40,Health,Mass Customer,N,9,Yes,85688 New Castle Crossing,4171,Queensland,Australia,10
105,Maribeth,Pristnor,Female,9/17/2001,21,25,Manufacturing,Mass Customer,N,1,No,8611 Loomis Lane,2155,New South Wales,Australia,10
106,Glyn,,Male,7/3/1966,56,54,Health,High Net Worth,N,18,Yes,7909 Pierstorff Crossing,2517,New South Wales,Australia,9
107,Pris,Stallebrass,Female,7/1/1990,32,97,Financial Services,Mass Customer,N,9,Yes,01 Muir Parkway,2096,New South Wales,Australia,12
108,Kayle,Mingaud,Female,3/14/1994,28,4,n/a,High Net Worth,N,3,No,0410 Division Junction,2750,New South Wales,Australia,8
109,Cody,Blabey,Male,12/11/1978,44,16,n/a,Affluent Customer,N,4,Yes,41 Service Lane,2217,New South Wales,Australia,11
110,Sascha,St. Quintin,Male,7/31/2000,22,23,Financial Services,Affluent Customer,N,1,No,5 Moose Road,3977,Victoria,Australia,8
111,Cele,Evason,Female,8/29/1993,29,65,n/a,Mass Customer,N,2,No,7342 Fieldstone Junction,2093,New South Wales,Australia,12
112,Shena,Parren,Female,8/12/1975,47,88,Retail,High Net Worth,N,12,No,0 David Terrace,3204,Victoria,Australia,11
113,Gage,Nickless,Male,5/6/1956,66,67,n/a,Mass Customer,N,20,No,15239 Northwestern Point,4300,Queensland,Australia,4
114,Sunny,Swindells,Female,10/23/1985,37,10,Entertainment,Affluent Customer,N,8,No,60 Oneill Street,2170,New South Wales,Australia,9
115,Alberik,Mereweather,Male,12/21/1981,41,77,Health,Mass Customer,N,18,No,8194 Sachtjen Drive,3844,Victoria,Australia,1
116,Scottie,Swiffen,Male,2/5/1999,23,49,Manufacturing,Affluent Customer,N,2,Yes,0349 Farmco Terrace,2168,New South Wales,Australia,8
117,Nance,Suttling,Female,2/23/1982,40,75,Manufacturing,Mass Customer,N,15,No,185 Pennsylvania Way,4226,Queensland,Australia,6
118,Prentice,Pearmain,Male,11/12/1959,63,43,n/a,High Net Worth,N,19,No,432 Longview Circle,3192,Victoria,Australia,10
119,Willey,Chastanet,Male,12/4/1981,41,9,n/a,High Net Worth,N,9,Yes,5814 Bunker Hill Street,3070,Victoria,Australia,7
120,Sloan,Wagg,Male,9/2/1978,44,80,Financial Services,High Net Worth,N,4,Yes,7 Carberry Crossing,2485,New South Wales,Australia,2
121,Myles,Pauncefort,Male,10/2/1957,65,82,Manufacturing,Mass Customer,N,15,No,53 Talisman Trail,2097,New South Wales,Australia,9
122,Colver,Itter,Male,4/19/1979,43,87,Financial Services,Mass Customer,N,12,Yes,5 Prairie Rose Road,4817,Queensland,Australia,2
123,Almeta,Kalinsky,Female,12/3/1988,34,85,Financial Services,High Net Worth,N,15,No,84 Florence Parkway,2516,New South Wales,Australia,8
124,Kath,Cunney,Female,5/3/1995,27,27,Health,High Net Worth,N,5,Yes,739 Elmside Way,3074,Victoria,Australia,8
125,Darrelle,Antoniewski,Female,3/17/1960,62,94,Property,Mass Customer,N,16,No,684 Northport Circle,2213,New South Wales,Australia,10
126,Norman,Cliff,Male,10/15/1992,30,53,Health,Mass Customer,N,3,Yes,8 Hagan Hill,4508,Queensland,Australia,4
127,Merrili,Whitear,Female,12/3/1974,48,81,Financial Services,Mass Customer,N,19,No,0 Pearson Crossing,4405,Queensland,Australia,1
128,Isidro,Cypler,Male,7/17/1977,45,73,Property,Mass Customer,N,12,Yes,10918 Merry Way,2452,New South Wales,Australia,5
129,Weidar,Silkstone,Male,7/20/1985,37,64,Financial Services,High Net Worth,N,19,Yes,97 Coolidge Trail,2142,New South Wales,Australia,9
130,Raddy,Delete,Male,7/18/1997,25,32,Manufacturing,Mass Customer,N,1,No,58 Helena Hill,2205,New South Wales,Australia,7
131,Jana,Renyard,Female,10/16/1964,58,57,Retail,High Net Worth,N,8,No,352 Forster Place,4132,Queensland,Australia,3
132,Celesta,Willavoys,Female,7/7/1963,59,5,Manufacturing,Mass Customer,N,9,Yes,12306 Lawn Street,2145,New South Wales,Australia,8
133,Eldridge,Fiddeman,Male,6/13/1977,45,12,Financial Services,Mass Customer,N,16,Yes,19392 7th Trail,4744,Queensland,Australia,1
134,Merna,McCulloch,Female,8/1/1997,25,34,Telecommunications,Affluent Customer,N,5,Yes,1605 Northfield Junction,2158,New South Wales,Australia,11
135,Rosalia,Sigart,Female,1/18/1975,47,18,IT,Mass Customer,N,3,No,9674 Graceland Junction,3201,Victoria,Australia,6
136,Mel,Bennet,Male,5/26/1973,49,46,Manufacturing,High Net Worth,N,7,Yes,638 Thackeray Junction,4178,Queensland,Australia,3
137,Vaughn,Artin,Male,11/21/1987,35,27,Property,High Net Worth,N,10,No,869 Forster Circle,2112,New South Wales,Australia,10
138,Onofredo,Franc,Male,4/28/1985,37,5,Financial Services,Affluent Customer,N,13,Yes,0 Golden Leaf Crossing,2033,New South Wales,Australia,9
139,Gar,,Male,7/28/1964,58,1,Telecommunications,Affluent Customer,N,4,No,215 Lindbergh Trail,4401,Queensland,Australia,1
140,Morrie,Flaxon,Male,5/20/1994,28,9,Manufacturing,Mass Customer,N,2,No,829 Washington Crossing,3186,Victoria,Australia,9
141,Townsend,Trobe,Male,6/25/1954,68,67,Financial Services,High Net Worth,N,10,Yes,585 Loomis Court,2097,New South Wales,Australia,11
142,Bentley,Fortesquieu,Male,8/7/1967,55,57,Health,Affluent Customer,N,17,No,68063 Blue Bill Park Center,3058,Victoria,Australia,9
143,Kendall,Figg,Male,9/1/1957,65,19,Argiculture,Mass Customer,N,11,Yes,15673 Farmco Point,4017,Queensland,Australia,6
145,Filippo,Ferrara,Male,7/21/1997,25,33,Financial Services,Mass Customer,N,4,No,7245 Cottonwood Center,2285,New South Wales,Australia,5
146,Ricoriki,Matlock,Male,4/8/1985,37,34,Manufacturing,Mass Customer,N,8,No,20382 Spohn Alley,2219,New South Wales,Australia,11
147,Rea,Pattrick,Female,12/6/1973,49,32,Health,Mass Customer,N,10,Yes,12375 Cambridge Pass,2065,New South Wales,Australia,11
148,Jaquith,Maffey,Female,5/8/1981,41,69,n/a,Mass Customer,N,5,Yes,03 Granby Parkway,3216,Victoria,Australia,8
149,Drucy,Kausche,Female,1/31/1995,27,41,Health,Mass Customer,N,1,Yes,939 Coleman Pass,4509,Queensland,Australia,7
150,Bradly,Crosse,Male,8/23/1983,39,6,Financial Services,Affluent Customer,N,17,No,69914 Bowman Place,2330,New South Wales,Australia,7
151,Donnie,Brimson,Male,1/31/1965,57,36,Manufacturing,Mass Customer,N,13,Yes,34457 Springview Street,2759,New South Wales,Australia,9
152,Stephana,Cardew,Female,3/3/1981,41,5,Financial Services,Mass Customer,N,16,No,992 Old Shore Trail,2069,New South Wales,Australia,12
153,Lorilyn,Walshe,Female,7/28/1977,45,73,Entertainment,Mass Customer,N,12,Yes,453 Sheridan Street,2747,New South Wales,Australia,8
154,Faydra,Dulieu,Female,2/13/1958,64,90,n/a,Mass Customer,N,11,No,8 Mccormick Crossing,2227,New South Wales,Australia,8
155,Orran,Bogges,Male,12/28/1985,37,4,Manufacturing,Mass Customer,N,10,No,63344 Holmberg Crossing,2025,New South Wales,Australia,10
156,Shayla,Rimmington,Female,9/9/1979,43,23,Financial Services,Mass Customer,N,11,Yes,9 Huxley Circle,3191,Victoria,Australia,11
157,Chad,Houtby,Male,11/23/1974,48,97,Financial Services,Affluent Customer,N,16,No,0 Hazelcrest Road,3025,Victoria,Australia,8
158,Hamlin,Odams,Male,9/3/1984,38,99,n/a,Affluent Customer,N,5,No,2 Continental Plaza,2263,New South Wales,Australia,6
159,Arin,Matskevich,Male,5/12/1987,35,90,Health,Affluent Customer,N,13,No,80 Duke Terrace,2233,New South Wales,Australia,10
160,Wake,Durning,Male,7/15/1964,58,5,Health,Mass Customer,N,18,No,860 Hintze Lane,2154,New South Wales,Australia,11
161,Tadd,Bloss,Male,1/21/1976,46,49,n/a,Mass Customer,N,16,No,3723 Bunker Hill Circle,2065,New South Wales,Australia,10
162,Port,Acuna,Male,8/12/1979,43,90,IT,Mass Customer,N,15,No,5 Corry Court,2119,New South Wales,Australia,10
163,Kessia,Helder,Female,9/6/1976,46,58,Entertainment,High Net Worth,N,14,Yes,65105 Sommers Pass,3016,Victoria,Australia,10
164,Aarika,Van Vuuren,Female,8/7/1999,23,55,Retail,Affluent Customer,N,1,Yes,2054 Sommers Pass,4113,Queensland,Australia,4
165,Aldon,Roelofs,Male,3/25/1984,38,61,Argiculture,Mass Customer,N,12,Yes,22371 Miller Trail,2032,New South Wales,Australia,10
166,Elston,Oleszczak,Male,6/12/1955,67,54,Manufacturing,Affluent Customer,N,6,No,35807 Oneill Way,4300,Queensland,Australia,4
167,Nathalie,Tideswell,Female,10/27/1969,53,95,Health,High Net Worth,N,17,Yes,75612 Clarendon Junction,4352,Queensland,Australia,6
169,Alfy,Bruhnke,Male,10/19/1957,65,20,Telecommunications,High Net Worth,N,5,Yes,93 Iowa Junction,2116,New South Wales,Australia,9
170,Jammal,Gever,Male,6/2/1975,47,80,Health,High Net Worth,N,21,No,48 Cascade Terrace,3057,Victoria,Australia,8
171,Halli,Davidoff,Female,12/4/1970,52,62,Manufacturing,Mass Customer,N,10,No,13950 Jackson Avenue,2099,New South Wales,Australia,11
172,Hilton,Carney,Male,9/12/1988,34,54,Manufacturing,Affluent Customer,N,6,Yes,35386 Mockingbird Road,3749,Victoria,Australia,4
173,Ebba,Hanselmann,Female,1/2/1997,25,99,Health,Affluent Customer,N,1,No,2 Randy Point,2766,New South Wales,Australia,8
174,Catie,Tosspell,Female,11/26/1989,33,93,Health,Mass Customer,N,12,No,6898 Redwing Park,2148,New South Wales,Australia,9
175,Templeton,Hambrook,Male,11/28/1975,47,36,Manufacturing,Affluent Customer,N,5,No,52273 Bay Place,3145,Victoria,Australia,11
176,Angelo,Clayal,Male,4/13/1992,30,39,Property,Mass Customer,N,10,No,272 Montana Avenue,2021,New South Wales,Australia,8
177,Ondrea,Pablos,Female,11/9/1989,33,25,Financial Services,High Net Worth,N,4,No,82520 Mifflin Drive,2333,New South Wales,Australia,5
178,Matthieu,Bertelmot,Male,4/3/1967,55,2,n/a,Affluent Customer,N,8,No,8 Dixon Parkway,2783,New South Wales,Australia,7
179,Esteban,Sewill,Male,5/11/1966,56,23,Manufacturing,High Net Worth,N,6,Yes,4 Dayton Terrace,2280,New South Wales,Australia,9
180,Trisha,Neasham,Female,9/17/1971,51,16,Argiculture,Affluent Customer,N,14,No,216 Barnett Junction,4120,Queensland,Australia,8
181,Pavla,Braunle,Female,11/21/1982,40,49,Manufacturing,Mass Customer,N,9,No,8256 Annamark Court,3638,Victoria,Australia,1
182,Lydon,Dahlman,Male,11/20/1992,30,99,Financial Services,Affluent Customer,N,7,Yes,83012 Dapin Lane,4300,Queensland,Australia,4
183,Dannie,Hissie,Female,8/5/1997,25,7,Retail,Affluent Customer,N,3,No,8 Haas Park,2074,New South Wales,Australia,10
184,Nappie,Paolo,Male,12/13/1971,51,40,Manufacturing,High Net Worth,N,7,Yes,50 Meadow Ridge Way,2880,New South Wales,Australia,1
185,Crosby,Walcot,Male,12/13/1979,43,80,Property,Mass Customer,N,13,Yes,3567 Northfield Lane,2430,New South Wales,Australia,5
186,Mireielle,Jeppe,Female,5/6/1974,48,46,Financial Services,Mass Customer,N,3,No,0059 Brentwood Road,4560,Queensland,Australia,7
187,Pincas,Ather,Male,1/28/1954,68,97,n/a,Mass Customer,N,11,No,0274 Oneill Alley,2088,New South Wales,Australia,10
188,Audry,Seine,Female,6/22/1975,47,54,Property,High Net Worth,N,13,Yes,4179 Carioca Terrace,2220,New South Wales,Australia,11
189,Umberto,Torricella,Male,7/19/1981,41,73,Financial Services,Affluent Customer,N,10,No,59265 Sullivan Junction,3031,Victoria,Australia,4
190,Hayley,Girardengo,Female,2/4/1979,43,42,Health,Affluent Customer,N,10,No,7 Warbler Point,2250,New South Wales,Australia,9
191,Christopher,Heining,Male,4/27/1960,62,22,n/a,Affluent Customer,N,6,Yes,3 Buell Park,2261,New South Wales,Australia,7
192,Goldi,Osler,Female,11/19/1978,44,2,Health,Mass Customer,N,8,Yes,0 Bay Center,3196,Victoria,Australia,6
193,Foss,Hardes,Male,7/22/1964,58,13,Manufacturing,Mass Customer,N,12,Yes,10878 Waywood Way,4352,Queensland,Australia,7
194,Ursala,Ferrai,Female,11/16/1974,48,4,Financial Services,Affluent Customer,N,10,No,362 Mayer Terrace,4680,Queensland,Australia,5
195,Talyah,Rylatt,Female,11/14/1958,64,34,Manufacturing,Mass Customer,N,6,No,43 Upham Crossing,3143,Victoria,Australia,9
196,Swen,Odhams,Male,2/22/1966,56,90,Manufacturing,High Net Worth,N,6,No,0 Superior Drive,2747,New South Wales,Australia,8
197,Avis,,Female,1/27/1977,45,32,n/a,High Net Worth,N,5,No,8890 Golden Leaf Street,2063,New South Wales,Australia,12
198,Vanya,Gumb,Female,11/29/1981,41,82,Entertainment,Mass Customer,N,16,No,5484 Hagan Crossing,3021,Victoria,Australia,7
199,Verla,Alven,Female,2/13/1978,44,61,Health,Mass Customer,N,21,Yes,7451 Jana Lane,2138,New South Wales,Australia,8
200,Hube,Weald,Male,2/4/1957,65,7,Property,Affluent Customer,N,19,Yes,7 Havey Point,4005,Queensland,Australia,2
201,Salem,Huie,Male,4/20/1966,56,45,Manufacturing,Mass Customer,N,11,Yes,32 Steensland Plaza,2233,New South Wales,Australia,9
202,Audie,Pillinger,Female,6/24/1963,59,38,Entertainment,Affluent Customer,N,16,Yes,107 Elmside Parkway,4811,Queensland,Australia,5
203,Donovan,Conry,Male,1/13/1964,58,71,Argiculture,Mass Customer,N,11,Yes,2 Gina Junction,2085,New South Wales,Australia,11
